,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Geography (Footnotes in parentheses–see bottom of spreadsheet),Violations (Footnotes in parentheses–see bottom of spreadsheet),2008,2009,2010,2011,2012
Canada (50),"Total, all violations",7458.64,7260.24,6971.49,6599.93,6408.53
Canada (50),"Total, all Criminal Code violations (including traffic)",7052.37,6875.67,6555.55,6177.71,5991.97
Canada (50),"Total, all Criminal Code violations (excluding traffic)",6616.55,6442.36,6136.98,5755.69,5588.11
Canada (50),Total violent Criminal Code violations (16),1331.45,1318.04,1287.03,1230.54,1190.12
Canada (50),"Homicide (17,24)",1.83,1.81,1.62,1.73,1.56
Canada (50),Total other violations causing death,0.28,0.3,0.29,0.22,0.28
Canada (50),Attempted murder,2.16,2.37,1.96,1.93,1.94
Canada (50),"Sexual assault, level 3, aggravated",0.42,0.35,0.52,0.43,0.37
Canada (50),"Sexual assault, level 2, weapon or bodily harm",1.05,1.04,1.18,1.16,1.06
Canada (50),"Sexual assault, level 1",62.98,60.63,63.87,61.8,61.42
Canada (50),Total sexual violations against children (26),4.31,7.98,10.8,11.03,11.38
Canada (50),"Assault, level 3, aggravated",10.78,10.73,10.2,10.23,10.07
Canada (50),"Assault, level 2, weapon or bodily harm",164.56,158.28,152.24,146.24,142.02
Canada (50),"Assault, level 1",543.29,535.37,513.64,501.97,487.37
Canada (50),"Total assaults against a peace officer (25,35)",29.43,35.1,46.63,33.13,30.42
Canada (50),Total other assaults,11.63,10.16,9.61,8.66,8.33
Canada (50),"Total firearms; use of, discharge, pointing",4.44,5.15,5.91,5.64,5.85
Canada (50),Total robbery (18),97.16,96.25,89.31,86.39,79.36
Canada (50),Total forcible confinement or kidnapping (34),14.2,14.21,12.6,10.96,10.35
Canada (50),Total abduction,1.38,1.29,1.32,1.17,1.12
Canada (50),Extortion,4.21,5.09,4.62,4.43,4.91
Canada (50),Criminal harassment (36),55.68,58.88,62.46,63.08,63.65
Canada (50),Uttering threats,237.22,233.2,223.72,208.15,201.78
Canada (50),Threatening or harassing phone calls,72.95,68.75,63.31,58.75,53.65
Canada (50),Total other violent violations,11.48,11.08,11.22,13.44,13.25
Canada (50),Total property crime violations,4248.71,4110.02,3824.44,3521.38,3414.44
Canada (50),Total breaking and entering,633.53,610.99,577.43,525.61,503.75
Canada (50),"Total possession of stolen property (42,46)",93.97,91.06,88.69,61.91,48.41
Canada (50),"Total trafficking in stolen property (42,43,46)",0,0,0.02,0.9,1.36
Canada (50),Total theft of motor vehicle (46),376.88,320.2,271.07,239.13,223.45
Canada (50),"Total theft over $5,000 (non-motor vehicle)",50.3,46.83,45.86,43.77,44.29
Canada (50),"Total theft under $5,000 (non-motor vehicle)",1659.65,1657.89,1545.74,1443.91,1424.24
Canada (50),Fraud (30),274.22,267.34,239.58,225.44,224.86
Canada (50),Identity theft (30),0,0,5.51,11.57,10.95
Canada (50),Identity fraud (30),0.32,1.67,18.13,23.26,25.57
Canada (50),Total mischief,1119.72,1074.29,996.56,915.57,875.65
Canada (50),Arson,40.13,39.74,35.85,30.16,31.65
Canada (50),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.15,0.26
Canada (50),Total other Criminal Code violations,1036.38,1014.3,1025.5,1003.77,983.56
Canada (50),Counterfeiting (19),3.09,2.43,2.39,1.8,1.26
Canada (50),Total weapons violations,45.76,44.44,44.07,40.61,39.98
Canada (50),"Child pornography (27,50,52)",3.68,4.26,4.93,5.68,5.5
Canada (50),Total prostitution,11.47,10.48,8.85,7.11,5.95
Canada (50),Disturb the peace (21),357.78,348.81,351.38,341.31,322.57
Canada (50),Total administration of justice violations,516.21,509.53,521.98,516.51,517.92
Canada (50),Total other violations,98.41,94.36,91.91,90.75,90.37
Canada (50),Total Criminal Code traffic violations,435.82,433.31,418.58,422.02,403.86
Canada (50),Total impaired driving (49),254.2,261.82,255.61,259.85,242.21
Canada (50),"Impaired operation, causing death",0.59,0.46,0.48,0.37,0.38
Canada (50),"Impaired operation (drugs), causing death",0,0.01,0.01,0.01,0.01
Canada (50),"Impaired operation, causing bodily harm",2.81,2.65,2.39,2.4,2.06
Canada (50),"Impaired operation (drugs), causing bodily harm",0.01,0.04,0.05,0.06,0.05
Canada (50),"Impaired operation of motor vehicle, vessel or aircraft (51)",238.45,243.03,237.23,241.67,224.5
Canada (50),"Impaired operation (drugs) vehicle, vessel, aircraft",1.32,4.17,4.92,5.32,5.52
Canada (50),"Impaired operation, failure to provide breath sample",10.56,11.01,10.26,9.85,9.5
Canada (50),Failure to comply or refusal (drugs),0.02,0.07,0.07,0.06,0.06
Canada (50),"Impaired operation, failure to provide blood sample",0.43,0.35,0.19,0.1,0.11
Canada (50),Failure to provide blood sample (drugs),0,0.03,0.01,0.01,0.01
Canada (50),Total other Criminal Code traffic violations,181.62,171.49,162.97,162.17,161.65
Canada (50),"Dangerous operation, causing death",0.33,0.3,0.29,0.26,0.16
Canada (50),"Dangerous operation, causing bodily harm",1.74,1.72,1.71,1.48,1.4
Canada (50),"Dangerous operation of motor vehicle, vessel or aircraft",22,21.03,20,18.74,19.32
Canada (50),"Dangerous operation evading police, causing death",0.01,0.01,0,0.01,0.01
Canada (50),"Dangerous operation evading police, causing bodily harm",0.11,0.13,0.12,0.09,0.1
Canada (50),Dangerous operation of motor vehicle evading police,7.49,6.13,6.83,6.61,6.37
Canada (50),Total fail to stop or remain (46),128.15,119.82,111.34,113.02,114.13
Canada (50),Driving while prohibited,20.75,21.28,21.56,20.88,19.07
Canada (50),Other Criminal Code traffic violations,0.74,0.65,0.7,0.64,0.64
Canada (50),Causing death by criminal negligence while street racing,0.01,0.01,0.01,0.01,0
Canada (50),Causing bodily harm by criminal negligence while street racing,0.01,0.01,0.01,0.01,0.01
Canada (50),Dangerous operation causing death while street racing,0,0.01,0.01,0,0
Canada (50),Dangerous operation causing bodily harm while street racing,0.02,0.02,0.01,0.01,0.01
Canada (50),Dangerous operation of motor vehicle while street racing,0.26,0.37,0.37,0.43,0.44
Canada (50),Total Federal Statute violations,406.27,384.57,415.94,422.22,416.55
Canada (50),Total drug violations,306.96,290.46,320.05,328.69,313.8
Canada (50),"Possession, cannabis",151.3,145.73,166.59,179.11,164.65
Canada (50),"Possession, cocaine",31.55,22.58,21.46,21.33,22.5
Canada (50),"Total, possession, other Controlled Drugs and Substances Act drugs",27.29,24.38,28.6,29.97,30.47
Canada (50),"Heroin, possession",1.51,1.41,1.36,1.6,2.22
Canada (50),"Other Controlled Drugs and Substances Act, possession",23.5,19.22,20.82,20.12,19.69
Canada (50),"Methamphetamines (crystal meth), possession",1.47,2.35,4.46,6.85,7.57
Canada (50),"Methylenedioxyamphetamine (ecstasy), possession",0.81,1.42,1.96,1.41,0.99
Canada (50),"Total cannabis, trafficking, production or distribution",45.1,48.64,53.81,47.94,44.94
Canada (50),"Cannabis, trafficking",25.39,27.76,31.3,31.62,27.73
Canada (50),"Cannabis, importation and exportation",2.63,2.43,1.72,1.1,1.27
Canada (50),"Cannabis, production",17.08,18.44,20.79,15.22,15.93
Canada (50),"Total cocaine, trafficking, production or distribution",33.91,29.73,28.93,29.42,30.25
Canada (50),"Cocaine, trafficking",32.83,28.65,28.03,28.49,29.33
Canada (50),"Cocaine, importation and exportation",1.04,1.04,0.85,0.88,0.9
Canada (50),"Cocaine, production",0.05,0.04,0.05,0.04,0.03
Canada (50),"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",17.82,19.4,20.65,20.86,20.9
Canada (50),"Heroin, trafficking",0.74,0.83,1.03,1.09,1.67
Canada (50),"Other Controlled Drugs and Substances Act, trafficking",12.91,13.14,13.24,13.56,13.05
Canada (50),"Methamphetamines (crystal meth), trafficking",0.43,1.15,2.12,2.76,3
Canada (50),"Methylenedioxyamphetamine (ecstasy), trafficking",0.39,0.78,1.2,0.73,0.47
Canada (50),"Heroin, importation and exportation",0.15,0.15,0.25,0.21,0.22
Canada (50),"Other Controlled Drugs and Substances Act, importation and exportation",2.94,2.61,1.95,1.76,1.83
Canada (50),"Methamphetamines (crystal meth), importation and exportation",0.02,0.02,0.03,0.04,0.03
Canada (50),"Methylenedioxyamphetamine (ecstasy), importation and exportation",0.02,0.07,0.07,0.05,0.03
Canada (50),"Heroin, production",0,0.01,0,0,0
Canada (50),"Other Controlled Drugs and Substances Act, production",0.13,0.51,0.57,0.5,0.4
Canada (50),"Methamphetamines (crystal meth), production",0.06,0.08,0.14,0.15,0.18
Canada (50),"Methylenedioxyamphetamine (ecstasy), production",0.03,0.05,0.04,0.02,0.03
Canada (50),"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0.06,0.09
Canada (50),Youth Criminal Justice Act,32.68,36.95,35.04,34.18,35.96
Canada (50),Total other Federal Statutes,66.63,57.16,60.85,59.36,66.79
Canada (50),Bankruptcy Act,0.16,0.15,0.12,0.19,0.23
Canada (50),Income Tax Act,0.26,0.11,0.11,0.08,0.07
Canada (50),Canada Shipping Act,6.82,7.66,10.46,12.23,11.6
Canada (50),Canada Health Act,0.04,0.07,0.04,0.03,0.05
Canada (50),Customs Act,3.86,2.66,2.07,2.22,2.24
Canada (50),Competition Act,0,0.01,0,0.01,0
Canada (50),Excise Act,6.48,5.97,4.71,3.53,2.83
Canada (50),Total Immigration and Refugee Protection Act (46),3.99,1.71,1.48,1.96,2.23
Canada (50),Firearms Act,4.99,5.45,5.51,5.2,4.02
Canada (50),National Defense Act,0.03,0.01,0.01,0.01,0
Canada (50),Other federal statutes,40.01,33.38,36.34,33.88,43.53
Newfoundland and Labrador,"Total, all violations",7144.24,7372.1,7683.56,7304.54,6997.83
Newfoundland and Labrador,"Total, all Criminal Code violations (including traffic)",6749.26,6939.18,7213.52,6860.4,6638.33
Newfoundland and Labrador,"Total, all Criminal Code violations (excluding traffic)",6355.86,6498.79,6711.05,6418.02,6196.32
Newfoundland and Labrador,Total violent Criminal Code violations (16),1530.16,1508.76,1553.12,1527.2,1538.64
Newfoundland and Labrador,"Homicide (17,24)",0.99,0.2,0.78,0.78,0.59
Newfoundland and Labrador,Total other violations causing death,0,0.2,0.2,0.19,0
Newfoundland and Labrador,Attempted murder,0.39,0,0.39,0.58,0
Newfoundland and Labrador,"Sexual assault, level 3, aggravated",0.2,0,0.2,0,0
Newfoundland and Labrador,"Sexual assault, level 2, weapon or bodily harm",0.79,1.57,0,0.58,1.37
Newfoundland and Labrador,"Sexual assault, level 1",82.16,69.34,71.7,62.59,71
Newfoundland and Labrador,Total sexual violations against children (26),2.37,10.21,18.36,15.4,15.6
Newfoundland and Labrador,"Assault, level 3, aggravated",5.73,6.87,5.67,6.04,5.85
Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",142,131.21,124.45,129.65,144.93
Newfoundland and Labrador,"Assault, level 1",674.43,691.42,665.4,697.41,712.17
Newfoundland and Labrador,"Total assaults against a peace officer (25,35)",21.33,35.95,89.48,41.14,33.36
Newfoundland and Labrador,Total other assaults,2.37,2.95,4.69,6.63,3.9
Newfoundland and Labrador,"Total firearms; use of, discharge, pointing",3.95,4.71,7.62,5.65,9.36
Newfoundland and Labrador,Total robbery (18),27.06,22.79,31.65,21.45,27.7
Newfoundland and Labrador,Total forcible confinement or kidnapping (34),8.49,10.8,11.14,6.63,7.02
Newfoundland and Labrador,Total abduction,1.38,0.59,1.17,1.95,1.17
Newfoundland and Labrador,Extortion,0.59,0,1.76,1.36,0.78
Newfoundland and Labrador,Criminal harassment (36),38.91,44.98,43.57,40.75,39.21
Newfoundland and Labrador,Uttering threats,349.16,358.48,374.9,385.65,389.73
Newfoundland and Labrador,Threatening or harassing phone calls,154.04,106.66,95.14,96.32,68.27
Newfoundland and Labrador,Total other violent violations,13.82,9.82,4.88,6.43,6.63
Newfoundland and Labrador,Total property crime violations,3898.47,4032.45,4111.38,3894.72,3674.18
Newfoundland and Labrador,Total breaking and entering,555.34,568.85,667.75,612.21,544.61
Newfoundland and Labrador,"Total possession of stolen property (42,46)",29.03,26.91,31.65,32.56,23.99
Newfoundland and Labrador,"Total trafficking in stolen property (42,43,46)",0,0,0,0.19,0.2
Newfoundland and Labrador,Total theft of motor vehicle (46),86.3,90.55,109.79,115.62,98.7
Newfoundland and Labrador,"Total theft over $5,000 (non-motor vehicle)",20.74,31.23,61.34,37.82,45.84
Newfoundland and Labrador,"Total theft under $5,000 (non-motor vehicle)",1093.51,1213.72,1295.83,1271.2,1183.83
Newfoundland and Labrador,Fraud (30),224.35,217.44,203.76,201.99,192.53
Newfoundland and Labrador,Identity theft (30),0,0,2.15,0.78,1.95
Newfoundland and Labrador,Identity fraud (30),,,4.49,4.09,2.73
Newfoundland and Labrador,Total mischief,1856.42,1844.25,1709.61,1592.51,1562.83
Newfoundland and Labrador,Arson,32.78,39.48,25.01,25.74,16.97
Newfoundland and Labrador,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Newfoundland and Labrador,Total other Criminal Code violations,927.22,957.58,1046.55,996.1,983.5
Newfoundland and Labrador,Counterfeiting (19),2.96,0.98,0.39,0.39,1.17
Newfoundland and Labrador,Total weapons violations,38.51,35.55,42.98,41.14,34.14
Newfoundland and Labrador,"Child pornography (27,50,52)",2.96,3.73,4.88,4.68,7.8
Newfoundland and Labrador,Total prostitution,2.76,4.52,4.49,2.34,4.29
Newfoundland and Labrador,Disturb the peace (21),439.02,456.3,490.36,436.54,384.86
Newfoundland and Labrador,Total administration of justice violations,343.44,352,380.76,389.94,417.24
Newfoundland and Labrador,Total other violations,97.56,104.5,122.69,121.08,134.01
Newfoundland and Labrador,Total Criminal Code traffic violations,393.4,440.39,502.47,442.39,442.01
Newfoundland and Labrador,Total impaired driving (49),312.63,339.62,414.95,358.94,361.25
Newfoundland and Labrador,"Impaired operation, causing death",0.59,0,0.2,0.19,0
Newfoundland and Labrador,"Impaired operation (drugs), causing death",,,0,0,0
Newfoundland and Labrador,"Impaired operation, causing bodily harm",1.78,1.96,2.15,2.92,1.95
Newfoundland and Labrador,"Impaired operation (drugs), causing bodily harm",0,0.39,0.2,0,0
Newfoundland and Labrador,"Impaired operation of motor vehicle, vessel or aircraft (51)",294.46,310.75,383.49,334.18,335.31
Newfoundland and Labrador,"Impaired operation (drugs) vehicle, vessel, aircraft",5.53,13.36,18.36,13.06,14.63
Newfoundland and Labrador,"Impaired operation, failure to provide breath sample",9.28,10.21,9.38,7.99,8.39
Newfoundland and Labrador,Failure to comply or refusal (drugs),0,1.57,0.2,0.58,0.2
Newfoundland and Labrador,"Impaired operation, failure to provide blood sample",0.99,1.37,0.98,0,0.78
Newfoundland and Labrador,Failure to provide blood sample (drugs),,,0,0,0
Newfoundland and Labrador,Total other Criminal Code traffic violations,80.77,100.77,87.52,83.45,80.76
Newfoundland and Labrador,"Dangerous operation, causing death",0.39,0.39,0,0.58,0
Newfoundland and Labrador,"Dangerous operation, causing bodily harm",1.58,1.96,1.76,0.58,0.59
Newfoundland and Labrador,"Dangerous operation of motor vehicle, vessel or aircraft",17.18,21.8,13.48,9.75,12.29
Newfoundland and Labrador,"Dangerous operation evading police, causing death",0,0,0,0,0
Newfoundland and Labrador,"Dangerous operation evading police, causing bodily harm",0,0.2,0.39,0,0
Newfoundland and Labrador,Dangerous operation of motor vehicle evading police,9.48,7.86,7.62,8.77,9.56
Newfoundland and Labrador,Total fail to stop or remain (46),34.36,44,44.35,39.97,34.72
Newfoundland and Labrador,Driving while prohibited,15.4,23.57,18.95,21.84,23.02
Newfoundland and Labrador,Other Criminal Code traffic violations,0.99,0.59,0.2,0.97,0.39
Newfoundland and Labrador,Causing death by criminal negligence while street racing,0,0.2,0,0.39,0
Newfoundland and Labrador,Causing bodily harm by criminal negligence while street racing,,,0.2,0.39,0
Newfoundland and Labrador,Dangerous operation causing death while street racing,0.2,0,0,0,0
Newfoundland and Labrador,Dangerous operation causing bodily harm while street racing,0.2,0,0,0,0
Newfoundland and Labrador,Dangerous operation of motor vehicle while street racing,0.99,0.2,0.59,0.19,0.2
Newfoundland and Labrador,Total Federal Statute violations,394.98,432.93,470.04,444.14,359.5
Newfoundland and Labrador,Total drug violations,211.32,242.39,312.58,333.4,275.43
Newfoundland and Labrador,"Possession, cannabis",98.55,99.2,119.37,139.6,112.55
Newfoundland and Labrador,"Possession, cocaine",11.85,14.34,7.42,15.4,15.41
Newfoundland and Labrador,"Total, possession, other Controlled Drugs and Substances Act drugs",13.23,19.84,27.16,29.64,31.8
Newfoundland and Labrador,"Heroin, possession",0.39,0,0,0,0.2
Newfoundland and Labrador,"Other Controlled Drugs and Substances Act, possession",12.44,18.66,25.59,28.66,30.23
Newfoundland and Labrador,"Methamphetamines (crystal meth), possession",0,0,0,0,0.78
Newfoundland and Labrador,"Methylenedioxyamphetamine (ecstasy), possession",0.39,1.18,1.56,0.97,0.59
Newfoundland and Labrador,"Total cannabis, trafficking, production or distribution",58.46,67.96,88.11,80.13,54.03
Newfoundland and Labrador,"Cannabis, trafficking",52.93,58.73,78.14,74.09,48.96
Newfoundland and Labrador,"Cannabis, importation and exportation",0.39,0.59,0.59,0.19,0.2
Newfoundland and Labrador,"Cannabis, production",5.13,8.64,9.38,5.85,4.88
Newfoundland and Labrador,"Total cocaine, trafficking, production or distribution",15.01,20.23,31.84,31,25.75
Newfoundland and Labrador,"Cocaine, trafficking",14.81,20.04,31.84,30.42,25.75
Newfoundland and Labrador,"Cocaine, importation and exportation",0.2,0.2,0,0.39,0
Newfoundland and Labrador,"Cocaine, production",,,0,0.19,0
Newfoundland and Labrador,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",14.22,20.82,38.68,37.63,35.7
Newfoundland and Labrador,"Heroin, trafficking",0.39,0.79,0,0.19,0
Newfoundland and Labrador,"Other Controlled Drugs and Substances Act, trafficking",13.23,18.27,33.99,35.48,34.72
Newfoundland and Labrador,"Methamphetamines (crystal meth), trafficking",0.2,0.2,0.59,0.19,0
Newfoundland and Labrador,"Methylenedioxyamphetamine (ecstasy), trafficking",0,0.39,3.52,1.36,0.59
Newfoundland and Labrador,"Heroin, importation and exportation",0,0.2,0,0,0
Newfoundland and Labrador,"Other Controlled Drugs and Substances Act, importation and exportation",0.39,0.39,0.39,0,0.2
Newfoundland and Labrador,"Methamphetamines (crystal meth), importation and exportation",0,0,0,0,0
Newfoundland and Labrador,"Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
Newfoundland and Labrador,"Heroin, production",,,0,0,0
Newfoundland and Labrador,"Other Controlled Drugs and Substances Act, production",0,0.59,0.2,0.39,0
Newfoundland and Labrador,"Methamphetamines (crystal meth), production",0,0,0,0,0.2
Newfoundland and Labrador,"Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
Newfoundland and Labrador,"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0.2
Newfoundland and Labrador,Youth Criminal Justice Act,31.6,27.3,22.86,19.5,24.19
Newfoundland and Labrador,Total other Federal Statutes,152.07,163.23,134.6,91.25,59.88
Newfoundland and Labrador,Bankruptcy Act,0,0,0,0,0
Newfoundland and Labrador,Income Tax Act,0,0,0.2,0,0
Newfoundland and Labrador,Canada Shipping Act,2.17,16.7,8.99,19.3,15.6
Newfoundland and Labrador,Canada Health Act,0,0,0.2,0,0
Newfoundland and Labrador,Customs Act,5.92,2.55,3.52,0.19,1.76
Newfoundland and Labrador,Competition Act,0,0,0,0.19,0
Newfoundland and Labrador,Excise Act,52.14,51.86,27.35,19.89,15.02
Newfoundland and Labrador,Total Immigration and Refugee Protection Act (46),0.2,0.2,0,0.58,0.2
Newfoundland and Labrador,Firearms Act,7.7,3.54,5.08,6.63,3.51
Newfoundland and Labrador,National Defense Act,0,0,0,0,0
Newfoundland and Labrador,Other federal statutes,83.93,88.39,89.28,44.45,23.8
Prince Edward Island (51),"Total, all violations",6895.12,7074.6,7071.02,7206.84,7304.34
Prince Edward Island (51),"Total, all Criminal Code violations (including traffic)",6710.24,6866.87,6843.17,6888.36,6966.22
Prince Edward Island (51),"Total, all Criminal Code violations (excluding traffic)",6255.2,6276.32,6194.57,6278.87,6524.08
Prince Edward Island (51),Total violent Criminal Code violations (16),1142.26,1264.76,1173.49,1143.48,1168.34
Prince Edward Island (51),"Homicide (17,24)",1.43,0,0,0.69,0
Prince Edward Island (51),Total other violations causing death,0,0,0,0,0
Prince Edward Island (51),Attempted murder,0.72,0,0,0,0.68
Prince Edward Island (51),"Sexual assault, level 3, aggravated",0,0,0,0,0
Prince Edward Island (51),"Sexual assault, level 2, weapon or bodily harm",0,1.42,0,0,0.68
Prince Edward Island (51),"Sexual assault, level 1",55.18,43.95,42.63,50.79,49.96
Prince Edward Island (51),Total sexual violations against children (26),1.43,12.76,16.77,13.04,15.74
Prince Edward Island (51),"Assault, level 3, aggravated",1.43,4.96,4.19,4.8,2.05
Prince Edward Island (51),"Assault, level 2, weapon or bodily harm",75.24,73.73,85.27,88.54,72.55
Prince Edward Island (51),"Assault, level 1",483.7,505.48,465.48,479.77,526.33
Prince Edward Island (51),"Total assaults against a peace officer (25,35)",9.32,28.36,31.45,13.04,12.32
Prince Edward Island (51),Total other assaults,1.43,0.71,0,0,1.37
Prince Edward Island (51),"Total firearms; use of, discharge, pointing",1.43,1.42,2.1,2.06,2.74
Prince Edward Island (51),Total robbery (18),17.2,13.47,15.38,11.67,17.11
Prince Edward Island (51),Total forcible confinement or kidnapping (34),5.02,2.84,4.19,2.75,8.21
Prince Edward Island (51),Total abduction,0,0,0,0,0
Prince Edward Island (51),Extortion,2.87,0,1.4,0.69,0.68
Prince Edward Island (51),Criminal harassment (36),70.94,80.82,68.49,85.8,75.29
Prince Edward Island (51),Uttering threats,247.23,326.83,279.57,252.58,257.35
Prince Edward Island (51),Threatening or harassing phone calls,158.37,155.97,151.67,133.15,119.09
Prince Edward Island (51),Total other violent violations,9.32,12.05,4.89,4.12,6.16
Prince Edward Island (51),Total property crime violations,4415.68,4305.44,4324.24,4354.99,4585.74
Prince Edward Island (51),Total breaking and entering,576.86,510.44,511.61,476.34,570.82
Prince Edward Island (51),"Total possession of stolen property (42,46)",63.06,58.84,64.3,56.28,58.18
Prince Edward Island (51),"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.05
Prince Edward Island (51),Total theft of motor vehicle (46),120.39,112.72,80.38,85.11,108.83
Prince Edward Island (51),"Total theft over $5,000 (non-motor vehicle)",20.78,22.69,25.86,25.4,27.38
Prince Edward Island (51),"Total theft under $5,000 (non-motor vehicle)",1977.1,1968.04,2102.36,2051.55,2210.05
Prince Edward Island (51),Fraud (30),253.68,219.77,233.44,238.17,321
Prince Edward Island (51),Identity theft (30),0,0,2.8,1.37,2.05
Prince Edward Island (51),Identity fraud (30),,,8.39,8.24,8.9
Prince Edward Island (51),Total mischief,1375.87,1390.25,1272.74,1389.89,1248.42
Prince Edward Island (51),Arson,27.95,22.69,22.37,22.65,28.06
Prince Edward Island (51),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Prince Edward Island (51),Total other Criminal Code violations,697.25,706.11,696.83,780.4,769.99
Prince Edward Island (51),Counterfeiting (19),0,0.71,15.38,0.69,0
Prince Edward Island (51),Total weapons violations,17.91,23.4,14.68,21.96,20.53
Prince Edward Island (51),"Child pornography (27,50,52)",6.45,7.09,6.99,5.49,4.79
Prince Edward Island (51),Total prostitution,0,0.71,0,2.75,1.37
Prince Edward Island (51),Disturb the peace (21),341.1,378.58,310.32,389.17,398.34
Prince Edward Island (51),Total administration of justice violations,247.94,216.23,243.92,211.4,237.5
Prince Edward Island (51),Total other violations,83.84,79.4,105.54,148.94,107.46
Prince Edward Island (51),Total Criminal Code traffic violations,455.04,590.55,648.6,609.49,442.15
