"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","41109","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","42143","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","44437","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","46858","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","41781","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","36754","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","35969","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","44192","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Actual incidents","Number","223","units","0","v68869952","38.1.1","51139","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","3059.30","","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","3100.57","","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","3221.90","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","3335.07","","","","2"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","2912.61","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","2540.33","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","2507.39","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v68869953","38.1.2","3055.66","","","","2"
