,,,"Calgary, City [Census subdivision], Alberta",,,,,,"Alberta [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1, 1239220,,,...,,..., 4067175,,,...,,...
"Population and dwellings","Population; 2011",1, 1096833,,,...,,..., 3645257,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,     13.0,,,...,,...,     11.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  489650,,,...,,..., 1654129,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  466725,,,...,,..., 1527678,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1501.1,,,...,,...,    6.4,,,...,,...
"Population and dwellings","Land area in square kilometres",,    825.56,,,...,,..., 640330.46,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 1239220,,  618245,,  620975,, 4067175,, 2039410,, 2027765,
"Age characteristics","  0 to 14 years",,  226980,,  116520,,  110460,,  779155,,  399570,,  379580,
"Age characteristics","    0 to 4 years",,   77985,,   40055,,   37930,,  266515,,  136520,,  129995,
"Age characteristics","    5 to 9 years",,   79365,,   40865,,   38500,,  270715,,  138990,,  131725,
"Age characteristics","    10 to 14 years",,   69630,,   35600,,   34030,,  241920,,  124060,,  117860,
"Age characteristics","  15 to 64 years",,  873835,,  438600,,  435235,, 2787805,, 1408150,, 1379655,
"Age characteristics","    15 to 19 years",,   69730,,   35750,,   33985,,  240035,,  123625,,  116410,
"Age characteristics","    20 to 24 years",,   78640,,   39855,,   38785,,  261830,,  133990,,  127840,
"Age characteristics","    25 to 29 years",,  100140,,   49745,,   50390,,  310940,,  156715,,  154225,
"Age characteristics","    30 to 34 years",,  109445,,   54705,,   54740,,  333175,,  167555,,  165620,
"Age characteristics","    35 to 39 years",,  100400,,   49855,,   50540,,  305505,,  153655,,  151850,
"Age characteristics","    40 to 44 years",,   93405,,   46790,,   46615,,  281205,,  142545,,  138660,
"Age characteristics","    45 to 49 years",,   87810,,   44415,,   43400,,  269030,,  135855,,  133180,
