,,,"Brampton, City [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  593638,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  523906,r,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,     13.3,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  173428,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  168011,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 2228.7,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,    266.36,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  593640,,  293535,,  300105,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  120245,,   62305,,   57940,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   37520,,   19485,,   18040,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   41680,,   21520,,   20160,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   41040,,   21300,,   19740,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  407125,,  200510,,  206620,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   42820,,   22450,,   20370,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   42800,,   22380,,   20420,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   40200,,   19870,,   20330,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   43095,,   20195,,   22900,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   44275,,   20550,,   23720,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   43780,,   20885,,   22895,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   42865,,   20965,,   21900,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   42095,,   21135,,   20965,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   35815,,   17910,,   17905,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   29380,,   14165,,   15215,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   66270,,   30720,,   35550,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   24895,,   11855,,   13035,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   17095,,    8300,,    8795,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   11370,,    5300,,    6065,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    7065,,    3140,,    3925,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    5840,,    2120,,    3720,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    3825,,    1530,,    2290,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    1575,,     485,,    1090,,   88390,,   27400,,   60990,
