,,,"Halifax, Regional municipality [Census subdivision], Nova Scotia",,,,,,"Nova Scotia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  403131,,,...,,...,  923598,,,...,,...
"Population and dwellings","Population; 2011",1,  390086,r,,...,,...,  921727,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.3,,,...,,...,      0.2,,,...,,...
"Population and dwellings","Total private dwellings",2,  187338,,,...,,...,  458568,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  173324,,,...,,...,  401990,,,...,,...
"Population and dwellings","Population density per square kilometre",,   73.4,,,...,,...,   17.4,,,...,,...
"Population and dwellings","Land area in square kilometres",,   5490.35,,,...,,...,  52942.27,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  403130,,  195210,,  207920,,  923600,,  446885,,  476715,
"Age characteristics","  0 to 14 years",,   60510,,   30900,,   29615,,  133825,,   68370,,   65455,
"Age characteristics","    0 to 4 years",,   19785,,   10080,,    9705,,   42005,,   21365,,   20640,
"Age characteristics","    5 to 9 years",,   20745,,   10620,,   10125,,   45980,,   23650,,   22330,
"Age characteristics","    10 to 14 years",,   19985,,   10200,,    9785,,   45845,,   23350,,   22490,
"Age characteristics","  15 to 64 years",,  279525,,  136210,,  143315,,  605950,,  295100,,  310845,
"Age characteristics","    15 to 19 years",,   22330,,   11310,,   11020,,   51255,,   26240,,   25015,
"Age characteristics","    20 to 24 years",,   30205,,   15005,,   15200,,   56160,,   28150,,   28010,
"Age characteristics","    25 to 29 years",,   30185,,   15170,,   15015,,   53725,,   26790,,   26940,
"Age characteristics","    30 to 34 years",,   27470,,   13490,,   13980,,   51730,,   25130,,   26600,
"Age characteristics","    35 to 39 years",,   25700,,   12285,,   13415,,   52010,,   24560,,   27450,
"Age characteristics","    40 to 44 years",,   26640,,   12805,,   13830,,   57050,,   27245,,   29805,
"Age characteristics","    45 to 49 years",,   27715,,   13165,,   14550,,   61890,,   29720,,   32170,
"Age characteristics","    50 to 54 years",,   32640,,   15850,,   16795,,   75675,,   36615,,   39065,
"Age characteristics","    55 to 59 years",,   30590,,   14805,,   15790,,   76505,,   36925,,   39580,
"Age characteristics","    60 to 64 years",,   26050,,   12325,,   13720,,   69960,,   33735,,   36225,
"Age characteristics","  65 years and over",,   63095,,   28100,,   34990,,  183820,,   83415,,  100405,
"Age characteristics","    65 to 69 years",,   22495,,   10625,,   11875,,   63710,,   30810,,   32905,
"Age characteristics","    70 to 74 years",,   15500,,    7240,,    8255,,   45005,,   21520,,   23485,
"Age characteristics","    75 to 79 years",,   10430,,    4695,,    5735,,   31545,,   14520,,   17030,
"Age characteristics","    80 to 84 years",,    7490,,    3195,,    4295,,   21915,,    9425,,   12495,
"Age characteristics","    85 years and over",,    7185,,    2350,,    4830,,   21645,,    7140,,   14505,
"Age characteristics","      85 to 89 years",,    4405,,    1585,,    2815,,   13205,,    4845,,    8360,
"Age characteristics","      90 to 94 years",,    2115,,     610,,    1505,,    6320,,    1830,,    4485,
"Age characteristics","      95 to 99 years",,     605,,     145,,     460,,    1855,,     415,,    1430,
"Age characteristics","      100 years and over",,      55,,      10,,      45,,     270,,      45,,     225,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   15.0,,   15.8,,   14.2,,   14.5,,   15.3,,   13.7,
"Age characteristics","  15 to 64 years",,   69.3,,   69.8,,   68.9,,   65.6,,   66.0,,   65.2,
"Age characteristics","  65 years and over",,   15.7,,   14.4,,   16.8,,   19.9,,   18.7,,   21.1,
"Age characteristics","    85 years and over",,    1.8,,    1.2,,    2.3,,    2.3,,    1.6,,    3.0,
"Age characteristics","Average age of the population",,   40.8,,   39.9,,   41.8,,   43.5,,   42.5,,   44.4,
"Age characteristics","Median age of the population",,   41.0,,   39.8,,   42.1,,   45.5,,   44.5,,   46.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  173325,,,...,,...,  401990,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   86585,,,...,,...,  263470,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   21005,,,...,,...,   21350,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   61745,,,...,,...,  102300,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,   11785,,,...,,...,   20465,,,...,,...
"Household and dwelling characteristics","    Row house",,    6660,,,...,,...,   10215,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    6270,,,...,,...,   12435,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   36795,,,...,,...,   58405,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     235,,,...,,...,     780,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,    3995,,,...,,...,   14870,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  173325,,,...,,...,  401990,,,...,,...
"Household and dwelling characteristics","  1 person",,   51120,,,...,,...,  118670,,,...,,...
"Household and dwelling characteristics","  2 persons",,   64375,,,...,,...,  156825,,,...,,...
"Household and dwelling characteristics","  3 persons",,   27245,,,...,,...,   60250,,,...,,...
"Household and dwelling characteristics","  4 persons",,   21020,,,...,,...,   44970,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    9565,,,...,,...,   21275,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  397370,,,...,,...,  908340,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.3,,,...,,...,    2.3,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  342620,,  164315,,  178305,,  789770,,  378515,,  411255,
"Marital status","  Married or living common law",,  192490,,   96070,,   96415,,  454970,,  227220,,  227750,
"Marital status","    Married",,  154005,,   76885,,   77125,,  369695,,  184705,,  184990,
"Marital status","    Living common law",,   38485,,   19185,,   19295,,   85275,,   42515,,   42760,
"Marital status","  Not married and not living common law",,  150125,,   68245,,   81885,,  334800,,  151295,,  183505,
"Marital status","    Never married",,  102350,,   52820,,   49535,,  209455,,  110175,,   99280,
"Marital status","    Separated",,    9775,,    4175,,    5595,,   24105,,   10450,,   13655,
"Marital status","    Divorced",,   20590,,    7605,,   12985,,   48835,,   19715,,   29115,
"Marital status","    Widowed",,   17410,,    3650,,   13765,,   52405,,   10955,,   41455,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  113560,,,...,,...,  270965,,,...,,...
"Family characteristics","  2 persons",,   62535,,,...,,...,  157600,,,...,,...
"Family characteristics","  3 persons",,   24865,,,...,,...,   56625,,,...,,...
"Family characteristics","  4 persons",,   19235,,,...,,...,   41095,,,...,,...
"Family characteristics","  5 or more persons",,    6915,,,...,,...,   15645,,,...,,...
"Family characteristics","Average size of census families",,    2.8,,,...,,...,    2.7,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  113555,,,...,,...,  270965,,,...,,...
"Family characteristics","  Total couple families",,   94690,,,...,,...,  224065,,,...,,...
"Family characteristics","    Married couples",,   75450,,,...,,...,  181435,,,...,,...
"Family characteristics","    Common-law couples",,   19235,,,...,,...,   42630,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   18870,,,...,,...,   46900,,,...,,...
"Family characteristics","    Female parent",,   15245,,,...,,...,   37595,,,...,,...
"Family characteristics","    Male parent",,    3620,,,...,,...,    9305,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   94685,,,...,,...,  224065,,,...,,...
"Family characteristics","  Couples without children",,   50605,,,...,,...,  128125,,,...,,...
"Family characteristics","  Couples with children",,   44075,,,...,,...,   95940,,,...,,...
"Family characteristics","    1 child",,   19595,,,...,,...,   43810,,,...,,...
"Family characteristics","    2 children",,   17945,,,...,,...,   37595,,,...,,...
"Family characteristics","    3 or more children",,    6545,,,...,,...,   14535,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   18870,,,...,,...,   46900,,,...,,...
"Family characteristics","  1 child",,   11930,,,...,,...,   29480,,,...,,...
"Family characteristics","  2 children",,    5275,,,...,,...,   12810,,,...,,...
"Family characteristics","  3 or more children",,    1665,,,...,,...,    4610,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   84120,,   39360,,   44760,,  175575,,   81140,,   94435,
"Household type","Total - Private households by household type - 100% data",12,  173325,,,...,,...,  401990,,,...,,...
"Household type","  One-census-family households",,  108935,,,...,,...,  260280,,,...,,...
"Household type","    Without children in a census family",13,   48730,,,...,,...,  124000,,,...,,...
"Household type","    With children in a census family",14,   60205,,,...,,...,  136280,,,...,,...
"Household type","  Multiple-census-family households",,    2285,,,...,,...,    5285,,,...,,...
"Household type","  Non-census-family households",,   62100,,,...,,...,  136425,,,...,,...
"Household type","    One-person households",,   51120,,,...,,...,  118675,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   10985,,,...,,...,   17750,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  399315,,  193620,,  205700,,  912300,,  442470,,  469830,
"Knowledge of official languages","  English only",,  347190,,  170795,,  176400,,  813480,,  398950,,  414530,
"Knowledge of official languages","  French only",,     340,,     160,,     185,,     705,,     305,,     400,
"Knowledge of official languages","  English and French",,   49575,,   21645,,   27925,,   95380,,   41925,,   53460,
"Knowledge of official languages","  Neither English nor French",,    2210,,    1025,,    1185,,    2735,,    1295,,    1440,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  399315,,  193620,,  205700,,  912295,,  442470,,  469830,
"First official language spoken","  English",,  386095,,  187165,,  198935,,  879465,,  426535,,  452930,
"First official language spoken","  French",,    9895,,    4910,,    4985,,   28490,,   13890,,   14600,
"First official language spoken","  English and French",,    1210,,     575,,     640,,    1760,,     825,,     930,
