,,,"Montréal, Ville [Census subdivision], Quebec",,,,,,"Quebec [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1, 1704694,,,...,,..., 8164361,,,...,,...
"Population and dwellings","Population; 2011",1, 1649519,,,...,,..., 7903001,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.3,,,...,,...,      3.3,,,...,,...
"Population and dwellings","Total private dwellings",2,  843872,,,...,,..., 3858943,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  779802,,,...,,..., 3531663,,,...,,...
"Population and dwellings","Population density per square kilometre",, 4662.1,,,...,,...,    6.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    365.65,,,...,,...,1356625.27,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 1704695,,  830930,,  873765,, 8164360,, 4016760,, 4147605,
"Age characteristics","  0 to 14 years",,  265785,,  135490,,  130295,, 1333260,,  682535,,  650720,
"Age characteristics","    0 to 4 years",,   98815,,   50510,,   48300,,  444930,,  227965,,  216970,
"Age characteristics","    5 to 9 years",,   91005,,   46335,,   44670,,  469165,,  240225,,  228940,
"Age characteristics","    10 to 14 years",,   75965,,   38640,,   37325,,  419160,,  214345,,  204815,
"Age characteristics","  15 to 64 years",, 1165895,,  581940,,  583955,, 5335910,, 2664630,, 2671280,
"Age characteristics","    15 to 19 years",,   81790,,   41070,,   40720,,  429825,,  219070,,  210755,
"Age characteristics","    20 to 24 years",,  123925,,   61105,,   62825,,  500100,,  252600,,  247500,
"Age characteristics","    25 to 29 years",,  142400,,   70090,,   72305,,  495410,,  248030,,  247380,
"Age characteristics","    30 to 34 years",,  141520,,   69615,,   71905,,  515505,,  256440,,  259070,
"Age characteristics","    35 to 39 years",,  134710,,   67500,,   67210,,  550540,,  274595,,  275945,
"Age characteristics","    40 to 44 years",,  114785,,   58595,,   56195,,  506525,,  254100,,  252425,
"Age characteristics","    45 to 49 years",,  109250,,   56180,,   53065,,  519425,,  260410,,  259015,
"Age characteristics","    50 to 54 years",,  113465,,   58220,,   55240,,  619435,,  309070,,  310370,
"Age characteristics","    55 to 59 years",,  109560,,   54240,,   55325,,  636475,,  314190,,  322285,
"Age characteristics","    60 to 64 years",,   94490,,   45315,,   49170,,  562670,,  276140,,  286535,
"Age characteristics","  65 years and over",,  273015,,  113505,,  159515,, 1495195,,  669590,,  825605,
"Age characteristics","    65 to 69 years",,   80575,,   37465,,   43110,,  488175,,  236395,,  251775,
"Age characteristics","    70 to 74 years",,   61060,,   26760,,   34300,,  373590,,  176905,,  196690,
"Age characteristics","    75 to 79 years",,   48665,,   20190,,   28470,,  256905,,  116020,,  140890,
"Age characteristics","    80 to 84 years",,   39765,,   15750,,   24015,,  187835,,   78390,,  109450,
"Age characteristics","    85 years and over",,   42960,,   13340,,   29615,,  188685,,   61885,,  126805,
"Age characteristics","      85 to 89 years",,   27115,,    9340,,   17775,,  120635,,   43795,,   76840,
"Age characteristics","      90 to 94 years",,   12190,,    3335,,    8860,,   53165,,   15155,,   38015,
"Age characteristics","      95 to 99 years",,    3135,,     585,,    2550,,   13035,,    2685,,   10350,
"Age characteristics","      100 years and over",,     510,,      75,,     435,,    1850,,     255,,    1600,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   15.6,,   16.3,,   14.9,,   16.3,,   17.0,,   15.7,
"Age characteristics","  15 to 64 years",,   68.4,,   70.0,,   66.8,,   65.4,,   66.3,,   64.4,
"Age characteristics","  65 years and over",,   16.0,,   13.7,,   18.3,,   18.3,,   16.7,,   19.9,
"Age characteristics","    85 years and over",,    2.5,,    1.6,,    3.4,,    2.3,,    1.5,,    3.1,
"Age characteristics","Average age of the population",,   40.3,,   39.0,,   41.4,,   41.9,,   40.9,,   42.9,
"Age characteristics","Median age of the population",,   38.5,,   37.7,,   39.3,,   42.5,,   41.4,,   43.6,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  779805,,,...,,..., 3531660,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   57130,,,...,,..., 1602680,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  110475,,,...,,...,  187800,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,  611795,,,...,,..., 1717680,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,   25415,,,...,,...,  188245,,,...,,...
"Household and dwelling characteristics","    Row house",,   25705,,,...,,...,   93350,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,  106095,,,...,,...,  265195,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,  451305,,,...,,..., 1154955,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,    3275,,,...,,...,   15940,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     405,,,...,,...,   23505,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  779805,,,...,,..., 3531665,,,...,,...
"Household and dwelling characteristics","  1 person",,  318325,,,...,,..., 1175230,,,...,,...
"Household and dwelling characteristics","  2 persons",,  231615,,,...,,..., 1227765,,,...,,...
"Household and dwelling characteristics","  3 persons",,  104190,,,...,,...,  489460,,,...,,...
"Household and dwelling characteristics","  4 persons",,   81550,,,...,,...,  426250,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   44130,,,...,,...,  212960,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",, 1663235,,,...,,..., 7965455,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.1,,,...,,...,    2.3,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9, 1438910,,  695440,,  743470,, 6831105,, 3334220,, 3496885,
"Marital status","  Married or living common law",,  685000,,  345290,,  339700,, 3844145,, 1924750,, 1919395,
"Marital status","    Married",,  478480,,  240005,,  238480,, 2342980,, 1172720,, 1170260,
"Marital status","    Living common law",,  206520,,  105290,,  101225,, 1501160,,  752025,,  749135,
"Marital status","  Not married and not living common law",,  753915,,  350145,,  403765,, 2986960,, 1409475,, 1577490,
"Marital status","    Never married",,  530785,,  279685,,  251100,, 2010580,, 1084300,,  926280,
"Marital status","    Separated",,   30350,,   12800,,   17550,,  103625,,   46390,,   57240,
"Marital status","    Divorced",,  114570,,   42725,,   71845,,  483195,,  194430,,  288760,
"Marital status","    Widowed",,   78210,,   14935,,   63270,,  389555,,   84345,,  305210,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  419750,,,...,,..., 2257560,,,...,,...
"Family characteristics","  2 persons",,  213020,,,...,,..., 1204955,,,...,,...
"Family characteristics","  3 persons",,   94690,,,...,,...,  466310,,,...,,...
"Family characteristics","  4 persons",,   77320,,,...,,...,  412160,,,...,,...
"Family characteristics","  5 or more persons",,   34715,,,...,,...,  174140,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  419755,,,...,,..., 2257560,,,...,,...
"Family characteristics","  Total couple families",,  329780,,,...,,..., 1878095,,,...,,...
"Family characteristics","    Married couples",,  226615,,,...,,..., 1128355,,,...,,...
"Family characteristics","    Common-law couples",,  103165,,,...,,...,  749740,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   89970,,,...,,...,  379460,,,...,,...
"Family characteristics","    Female parent",,   73455,,,...,,...,  284900,,,...,,...
"Family characteristics","    Male parent",,   16520,,,...,,...,   94565,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  329780,,,...,,..., 1878095,,,...,,...
"Family characteristics","  Couples without children",,  155320,,,...,,...,  970260,,,...,,...
"Family characteristics","  Couples with children",,  174455,,,...,,...,  907840,,,...,,...
"Family characteristics","    1 child",,   70975,,,...,,...,  356640,,,...,,...
"Family characteristics","    2 children",,   70935,,,...,,...,  384875,,,...,,...
"Family characteristics","    3 or more children",,   32550,,,...,,...,  166315,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   89975,,,...,,...,  379465,,,...,,...
"Family characteristics","  1 child",,   57700,,,...,,...,  234695,,,...,,...
"Family characteristics","  2 children",,   23720,,,...,,...,  109670,,,...,,...
"Family characteristics","  3 or more children",,    8555,,,...,,...,   35100,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  456810,,  225415,,  231395,, 1579070,,  775765,,  803305,
"Household type","Total - Private households by household type - 100% data",12,  779805,,,...,,..., 3531660,,,...,,...
"Household type","  One-census-family households",,  405925,,,...,,..., 2197340,,,...,,...
"Household type","    Without children in a census family",13,  150715,,,...,,...,  947305,,,...,,...
"Household type","    With children in a census family",14,  255210,,,...,,..., 1250040,,,...,,...
"Household type","  Multiple-census-family households",,    6780,,,...,,...,   29595,,,...,,...
"Household type","  Non-census-family households",,  367090,,,...,,..., 1304725,,,...,,...
"Household type","    One-person households",,  318325,,,...,,..., 1175230,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   48770,,,...,,...,  129500,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15, 1680910,,  821035,,  859870,, 8066560,, 3977275,, 4089285,
"Knowledge of official languages","  English only",,  170490,,   86310,,   84180,,  372445,,  187595,,  184860,
"Knowledge of official languages","  French only",,  503105,,  224265,,  278840,, 4032640,, 1874545,, 2158095,
"Knowledge of official languages","  English and French",,  965480,,  494050,,  471430,, 3586410,, 1884135,, 1702275,
"Knowledge of official languages","  Neither English nor French",,   41835,,   16415,,   25420,,   75065,,   31000,,   44060,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16, 1680910,,  821035,,  859875,, 8066555,, 3977270,, 4089285,
"First official language spoken","  English",,  400245,,  200775,,  199470,,  964120,,  482985,,  481135,
"First official language spoken","  French",, 1097345,,  530565,,  566780,, 6750945,, 3320380,, 3430560,
"First official language spoken","  English and French",,  142675,,   73850,,   68825,,  278710,,  144060,,  134655,
"First official language spoken","  Neither English nor French",,   40645,,   15845,,   24800,,   72775,,   29845,,   42930,
"First official language spoken","Official language minority (number)",17,  471585,,  237700,,  233880,, 1103480,,  555015,,  548465,
"First official language spoken","Official language minority (percentage)",17,   28.1,,   29.0,,   27.2,,   13.7,,   14.0,,   13.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18, 1680905,,  821035,,  859875,, 8066555,, 3977270,, 4089285,
"Mother tongue","  Single responses",, 1600455,,  780840,,  819610,, 7881650,, 3884675,, 3996975,
"Mother tongue","    Official languages",, 1041420,,  509795,,  531620,, 6820815,, 3366970,, 3453845,
"Mother tongue","      English",,  208140,,  104900,,  103245,,  601155,,  301860,,  299300,
"Mother tongue","      French",,  833280,,  404900,,  428380,, 6219665,, 3065115,, 3154550,
"Mother tongue","    Non-official languages",,  559030,,  271040,,  287995,, 1060830,,  517700,,  543125,
"Mother tongue","      Aboriginal languages",,     475,,     170,,     305,,   45570,,   22530,,   23040,
"Mother tongue","        Algonquian languages",,     265,,     100,,     165,,   33140,,   16365,,   16770,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Cree-Montagnais languages",,     230,,      80,,     150,,   31430,,   15575,,   15855,
"Mother tongue","            Atikamekw",,      25,,       5,,      20,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,      45,,      10,,      30,,    8715,,    4155,,    4555,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","            Naskapi",,      15,,       5,,      10,,     590,,     285,,     305,
"Mother tongue","            Northern East Cree",,      35,,      15,,      25,,     135,,      55,,      80,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Southern East Cree",,       5,,       0,,       5,,      35,,      15,,      15,
"Mother tongue","            Swampy Cree",,       5,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Cree; n.o.s.",,     105,,      35,,      70,,   15790,,    7920,,    7875,
"Mother tongue","          Eastern Algonquian languages",,      10,,       5,,       5,,     485,,     225,,     260,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Mi'kmaq",,      10,,       5,,       5,,     485,,     220,,     260,
"Mother tongue","          Ojibway-Potawatomi languages",,      20,,      15,,      10,,    1215,,     565,,     645,
"Mother tongue","            Algonquin",,      20,,      10,,       5,,    1185,,     555,,     630,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Algonquian languages; n.i.e.",,       5,,       5,,       0,,       5,,       0,,       5,
"Mother tongue","        Athabaskan languages",,       5,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Northern Athabaskan languages",,       5,,       5,,       0,,      15,,      10,,       5,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Dene",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","            Slavey-Hare languages",,       5,,       5,,       0,,      10,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       5,,       0,,       0,,      10,,      10,,       0,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       5,,       5,,       0,,       0,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Inuit languages",,     145,,      40,,     110,,   11970,,    5955,,    6015,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       5,,       0,,       5,,       0,,       0,,       0,
"Mother tongue","          Inuktitut",,     125,,      35,,      90,,   11895,,    5925,,    5970,
"Mother tongue","          Inuit languages; n.i.e.",,      25,,      10,,      15,,      75,,      25,,      45,
"Mother tongue","        Iroquoian languages",,      30,,      15,,      15,,     375,,     165,,     210,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,      25,,      15,,      15,,     365,,     160,,     210,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Comox",,       0,,       0,,       5,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
