,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  631486,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,  603502,,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.6,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  309418,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  283916,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",, 5492.6,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    114.97,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  631485,,  308515,,  322970,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   70530,,   36640,,   33890,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,   24615,,   12875,,   11745,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,   22905,,   11800,,   11100,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,   23010,,   11965,,   11040,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,  463390,,  227695,,  235695,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,   28270,,   14310,,   13965,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,   44150,,   21410,,   22740,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,   63480,,   30985,,   32490,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,   61715,,   30935,,   30785,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,   48915,,   24275,,   24635,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,   43890,,   21190,,   22700,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,   46890,,   22845,,   24045,,  322365,,  155325,,  167040,
"Age characteristics","    50 to 54 years",,   46845,,   23360,,   23480,,  354375,,  172065,,  182310,
"Age characteristics","    55 to 59 years",,   42100,,   20355,,   21750,,  354925,,  171210,,  183715,
"Age characteristics","    60 to 64 years",,   37150,,   18035,,   19115,,  324095,,  156450,,  167645,
"Age characteristics","  65 years and over",,   97570,,   44180,,   53390,,  848985,,  395560,,  453425,
"Age characteristics","    65 to 69 years",,   32760,,   15685,,   17075,,  287520,,  139490,,  148035,
"Age characteristics","    70 to 74 years",,   20835,,    9785,,   11050,,  201785,,   97675,,  104110,
"Age characteristics","    75 to 79 years",,   16630,,    7550,,    9075,,  145225,,   68715,,   76510,
"Age characteristics","    80 to 84 years",,   13115,,    5875,,    7245,,  105255,,   48645,,   56610,
"Age characteristics","    85 years and over",,   14225,,    5280,,    8945,,  109190,,   41035,,   68155,
"Age characteristics","      85 to 89 years",,    8610,,    3555,,    5060,,   67510,,   27930,,   39575,
"Age characteristics","      90 to 94 years",,    4140,,    1390,,    2755,,   31815,,   10615,,   21205,
"Age characteristics","      95 to 99 years",,    1215,,     300,,     920,,    8545,,    2215,,    6330,
"Age characteristics","      100 years and over",,     250,,      45,,     205,,    1325,,     275,,    1050,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   11.2,,   11.9,,   10.5,,   14.9,,   15.6,,   14.2,
"Age characteristics","  15 to 64 years",,   73.4,,   73.8,,   73.0,,   66.9,,   67.0,,   66.7,
"Age characteristics","  65 years and over",,   15.5,,   14.3,,   16.5,,   18.3,,   17.4,,   19.1,
"Age characteristics","    85 years and over",,    2.3,,    1.7,,    2.8,,    2.3,,    1.8,,    2.9,
"Age characteristics","Average age of the population",,   41.6,,   40.8,,   42.3,,   42.3,,   41.5,,   43.1,
"Age characteristics","Median age of the population",,   39.9,,   39.0,,   40.7,,   43.0,,   41.9,,   44.0,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  283915,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   41330,,,...,,...,  830660,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   83250,,,...,,...,  177830,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,  159310,,,...,,...,  824190,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    4480,,,...,,...,   57395,,,...,,...
"Household and dwelling characteristics","    Row house",,    9845,,,...,,...,  147830,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   52970,,,...,,...,  230075,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   91385,,,...,,...,  385140,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     635,,,...,,...,    3755,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,      25,,,...,,...,   49290,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  283920,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  1 person",,  110020,,,...,,...,  541910,,,...,,...
"Household and dwelling characteristics","  2 persons",,   90450,,,...,,...,  663770,,,...,,...
"Household and dwelling characteristics","  3 persons",,   36885,,,...,,...,  277690,,,...,,...
"Household and dwelling characteristics","  4 persons",,   28780,,,...,,...,  243125,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   17780,,,...,,...,  155470,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  618210,,,...,,..., 4560240,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.2,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  560955,,  271875,,  289080,, 3956665,, 1922840,, 2033825,
"Marital status","  Married or living common law",,  282585,,  141450,,  141135,, 2297325,, 1146175,, 1151150,
"Marital status","    Married",,  224800,,  111755,,  113045,, 1925345,,  959690,,  965645,
"Marital status","    Living common law",,   57785,,   29695,,   28090,,  371985,,  186485,,  185505,
"Marital status","  Not married and not living common law",,  278370,,  130425,,  147945,, 1659335,,  776660,,  882675,
"Marital status","    Never married",,  203550,,  106195,,   97355,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,   12790,,    5330,,    7460,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,   37150,,   14245,,   22900,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,   24880,,    4655,,   20225,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  160855,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   88590,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,   35480,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,   28685,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    8105,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  160855,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,  135215,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,  106325,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,   28890,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   25645,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,   21090,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    4550,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  135215,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   71270,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   63945,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,   28895,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,   27250,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    7805,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   25640,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,   17315,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    6590,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,    1740,,,...,,...,   17145,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  177510,,   84480,,   93030,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,  283915,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,  146025,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   65040,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   80985,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    7145,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,  130745,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,  110020,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   20720,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  622630,,  304235,,  318400,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  518180,,  258795,,  259385,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,     375,,     180,,     195,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,   61710,,   27980,,   33730,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,   42370,,   17275,,   25095,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  622635,,  304235,,  318400,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,  566940,,  280310,,  286635,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,    9950,,    5125,,    4825,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,    3805,,    1735,,    2070,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,   41935,,   17070,,   24870,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,   11855,,    5990,,    5860,,   64325,,   31840,,   32480,
"First official language spoken","Official language minority (percentage)",17,    1.9,,    2.0,,    1.8,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  622635,,  304235,,  318400,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  602805,,  294900,,  307900,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,  328595,,  170085,,  158510,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,  319115,,  165150,,  153965,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    9480,,    4940,,    4550,,   57425,,   28615,,   28810,
