"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","68521","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","72505","","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","75473","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","85152","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","93690","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","79307","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","77386","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","85454","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Actual incidents","Number","223","units","0","v71853002","10.1.1","84171","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5431.29","","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5670.31","","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5860.16","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","6528.90","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","7050.56","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5878.82","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5705.70","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","6126.09","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71853003","10.1.2","5681.60","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","23.64","","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","4.40","","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","3.35","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","11.41","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","7.99","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","-16.62","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","-2.94","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","7.37","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71853004","10.1.3","-7.26","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","","..","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","","..","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","712","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","738","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","695","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","526","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","504","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","607","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001050130","10.1.15","603","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","","..","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","","..","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.93","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.86","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.74","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.66","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.65","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.71","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1001050131","10.1.16","0.71","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","19399","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","20490","","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","20501","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","26035","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","30755","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","25983","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","28109","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","30920","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total cleared","Number","223","units","0","v71853005","10.1.4","32621","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","15808","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","16966","","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","17657","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","23531","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","27696","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","22599","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","24622","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","26866","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared by charge","Number","223","units","0","v71853006","10.1.5","27668","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v71853007","10.1.6","3591","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v71853007","10.1.6","3524","","","","0"
