"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","3707","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","3951","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","4056","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","3738","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","4088","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","4203","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","4475","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","5792","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Actual incidents","Number","223","units","0","v66991376","158.1.1","6144","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6308.71","","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6534.47","","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6625.72","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6009.45","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6446.83","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6536.24","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66991377","158.1.2","6927.35","","","","2"
