"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","22449","","","","0"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","22122","","","","0"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","23993","","","","0"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","24772","","","","0"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","23458","","","","0"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","22715","","","","0"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","23973","","","","0"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","28518","","","","0"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Actual incidents","Number","223","units","0","v66789776","94.1.1","29371","","","","0"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5501.50","","","","2"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5337.91","","","","2"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5691.71","","","","2"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5773.81","","","","2"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5349.86","","","","2"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5059.29","","","","2"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5251.49","","","","2"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","6029.66","","","","2"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v66789777","94.1.2","5967.30","","","","2"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","-8.42","","","","2"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","-2.97","","","","2"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","6.63","","","","2"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","1.44","","","","2"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","-7.34","","","","2"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","-5.43","","","","2"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","3.80","","","","2"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","14.82","","","","2"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v66789778","94.1.3","-1.03","","","","2"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","","..","","","0"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","","..","","","0"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","1357","","","","0"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","1394","","","","0"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","1328","","","","0"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","1084","","","","0"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","897","","","","0"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","761","","","","0"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000510898","94.1.15","653","","","","0"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","","..","","","2"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","","..","","","2"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","5.35","","","","2"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","5.33","","","","2"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","5.36","","","","2"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","4.55","","","","2"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","3.61","","","","2"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","2.60","","","","2"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000510899","94.1.16","2.17","","","","2"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","9198","","","","0"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","8910","","","","0"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","9323","","","","0"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","10061","","","","0"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","9178","","","","0"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","8017","","","","0"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","7030","","","","0"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","8151","","","","0"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total cleared","Number","223","units","0","v66789779","94.1.4","8661","","","","0"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","6999","","","","0"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","7003","","","","0"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","7249","","","","0"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","7712","","","","0"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","7412","","","","0"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","6338","","","","0"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","5536","","","","0"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","6816","","","","0"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66789780","94.1.5","6892","","","","0"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","2199","","","","0"
"2016","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1907","","","","0"
"2017","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","2074","","","","0"
"2018","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","2349","","","","0"
"2019","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1766","","","","0"
"2020","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1679","","","","0"
"2021","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1494","","","","0"
"2022","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1335","","","","0"
"2023","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66789781","94.1.6","1769","","","","0"
"2015","Halifax Metropolitan Area, Nova Scotia, municipal [12099]","2021A002512099","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66789782","94.1.7","6625","","","","0"
