"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","96364","","","","0"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","92685","","","","0"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","93433","","","","0"
"2018","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","91766","","","","0"
"2019","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","99599","","","","0"
"2020","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","88897","","","","0"
"2021","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","92904","","","","0"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","105084","","","","0"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Actual incidents","Number","223","units","0","v67953302","82.1.1","115080","","","","0"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4947.02","","","","2"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4727.04","","","","2"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4709.81","","","","2"
"2018","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4534.26","","","","2"
"2019","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4836.96","","","","2"
"2020","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4311.27","","","","2"
"2021","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","4608.61","","","","2"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","5163.13","","","","2"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v67953303","82.1.2","5415.87","","","","2"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v67953304","82.1.3","-0.15","","","","2"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v67953304","82.1.3","-4.45","","","","2"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v67953304","82.1.3","-0.36","","","","2"
