"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","54579","","","","0"
"2016","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","58505","","","","0"
"2017","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","58606","","","","0"
"2018","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","59478","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","60956","","","","0"
"2020","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","52221","","","","0"
"2021","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","44843","","","","0"
"2022","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","46778","","","","0"
"2023","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","50852","","","","0"
"2015","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8264.09","","","","2"
"2016","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8776.22","","","","2"
"2017","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8719.18","","","","2"
"2018","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8729.38","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8754.07","","","","2"
"2020","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","7428.96","","","","2"
"2021","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","6426.91","","","","2"
"2022","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","6609.66","","","","2"
"2023","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","6924.62","","","","2"
"2015","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","-0.34","","","","2"
"2016","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","6.20","","","","2"
"2017","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","-0.65","","","","2"
"2018","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","0.12","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","0.28","","","","2"
"2020","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","-15.14","","","","2"
"2021","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","-13.49","","","","2"
"2022","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","2.84","","","","2"
"2023","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","4.77","","","","2"
"2015","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","","..","","","0"
"2016","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","","..","","","0"
"2017","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","741","","","","0"
"2018","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","639","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","165","","","","0"
"2020","Vancouver, British Columbia, municipal [59023]","2021A002559023","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1001192946","23.1.15","114","","","","0"
