,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,   58220,E,,...,,...,  747101,,,...,,...
"Population and dwellings","Population; 2011",1,   56224,,,...,,...,  751171,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.6,E,,...,,...,     -0.5,,,...,,...
"Population and dwellings","Total private dwellings",2,   28431,,,...,,...,  359721,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   25957,,,...,,...,  319773,,,...,,...
"Population and dwellings","Population density per square kilometre",,  439.2,,,...,,...,   10.5,,,...,,...
"Population and dwellings","Land area in square kilometres",,    132.57,,,...,,...,  71388.81,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   58220,,   27655,,   30565,,  747105,,  365355,,  381745,
"Age characteristics","  0 to 14 years",,    8675,,    4335,,    4335,,  110495,,   56320,,   54180,
"Age characteristics","    0 to 4 years",,    2935,,    1470,,    1465,,   34365,,   17505,,   16860,
"Age characteristics","    5 to 9 years",,    2890,,    1450,,    1440,,   38250,,   19515,,   18735,
"Age characteristics","    10 to 14 years",,    2850,,    1420,,    1430,,   37880,,   19295,,   18585,
"Age characteristics","  15 to 64 years",,   39040,,   18860,,   20180,,  487820,,  240535,,  247285,
"Age characteristics","    15 to 19 years",,    3200,,    1600,,    1595,,   40605,,   20905,,   19705,
"Age characteristics","    20 to 24 years",,    5215,,    2580,,    2630,,   41445,,   21280,,   20165,
"Age characteristics","    25 to 29 years",,    4360,,    2210,,    2155,,   39245,,   19745,,   19505,
"Age characteristics","    30 to 34 years",,    4030,,    1995,,    2030,,   41510,,   20140,,   21365,
"Age characteristics","    35 to 39 years",,    3735,,    1805,,    1925,,   44435,,   21585,,   22850,
"Age characteristics","    40 to 44 years",,    3695,,    1750,,    1945,,   48430,,   23520,,   24910,
"Age characteristics","    45 to 49 years",,    3635,,    1725,,    1915,,   51300,,   25195,,   26105,
"Age characteristics","    50 to 54 years",,    3880,,    1835,,    2045,,   61055,,   29795,,   31265,
"Age characteristics","    55 to 59 years",,    3775,,    1780,,    1995,,   61740,,   30210,,   31530,
"Age characteristics","    60 to 64 years",,    3520,,    1575,,    1945,,   58060,,   28170,,   29895,
"Age characteristics","  65 years and over",,   10505,,    4460,,    6045,,  148785,,   68500,,   80280,
"Age characteristics","    65 to 69 years",,    3250,,    1470,,    1780,,   52160,,   25595,,   26570,
