"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","106400","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","111171","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","118330","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","131527","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","134902","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","114134","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","116471","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","137380","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Actual incidents","Number","223","units","0","v69380252","200.1.1","165714","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v69380253","200.1.2","3818.31","","","","2"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v69380253","200.1.2","3938.59","","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v69380253","200.1.2","4142.40","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v69380253","200.1.2","4529.21","","","","2"
