,,"Property Crime Rates (per 100,000 population)",,,,
Geography (Footnotes in parentheses–see bottom of spreadsheet),Violations (Footnotes in parentheses–see bottom of spreadsheet),2008,2009,2010,2011,2012
Canada (50),Total property crime violations,4248.71,4110.02,3824.44,3521.38,3414.44
Canada (50),Total breaking and entering,633.53,610.99,577.43,525.61,503.75
Canada (50),Breaking and entering,633.21,610.08,575.46,523.37,501.18
Canada (50),Breaking and entering to steal a firearm,0.28,0.71,1.05,1.3,1.59
Canada (50),Break and enter to steal a firearm from a motor vehicle,0.04,0.21,0.92,0.94,0.99
Canada (50),"Total possession of stolen property (42,46)",93.97,91.06,88.69,61.91,48.41
Canada (50),"Total trafficking in stolen property (42,43,46)",0,0,0.02,0.9,1.36
Canada (50),Total theft of motor vehicle (46),376.88,320.2,271.07,239.13,223.45
Canada (50),"Total theft over $5,000 (non-motor vehicle)",50.3,46.83,45.86,43.77,44.29
Canada (50),"Theft over $5,000",36.78,34.09,33.91,32.71,32.98
Canada (50),"Theft over $5,000 from a motor vehicle",12.4,11.58,10.63,9.78,10.2
Canada (50),"Shoplifting over $5,000",1.11,1.16,1.32,1.28,1.12
Canada (50),"Total theft under $5,000 (non-motor vehicle)",1659.65,1657.89,1545.74,1443.91,1424.24
Canada (50),"Theft $5,000 or under",785.29,728.85,669.55,641.68,634.05
Canada (50),"Theft $5,000 or under from a motor vehicle",636.66,653.51,609.04,542.92,526.69
Canada (50),"Shoplifting $5,000 or under",237.7,275.53,267.15,259.31,263.5
Canada (50),Fraud (30),274.22,267.34,239.58,225.44,224.86
Canada (50),Identity theft (30),0,0,5.51,11.57,10.95
Canada (50),Identity fraud (30),0.32,1.67,18.13,23.26,25.57
Canada (50),Total mischief,1119.72,1074.29,996.56,915.57,875.65
Canada (50),Mischief,1119.47,1073.87,996.17,915.36,875.41
Canada (50),Mischief to religious property motivated by hate,0.25,0.43,0.39,0.21,0.24
Canada (50),Arson,40.13,39.74,35.85,30.16,31.65
Canada (50),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.15,0.26
Newfoundland and Labrador,Total property crime violations,3898.47,4032.45,4111.38,3894.72,3674.18
Newfoundland and Labrador,Total breaking and entering,555.34,568.85,667.75,612.21,544.61
Newfoundland and Labrador,Breaking and entering,555.34,567.87,666.57,610.84,543.25
Newfoundland and Labrador,Breaking and entering to steal a firearm,0,0.59,0,0.58,0.98
Newfoundland and Labrador,Break and enter to steal a firearm from a motor vehicle,0,0.39,1.17,0.78,0.39
Newfoundland and Labrador,"Total possession of stolen property (42,46)",29.03,26.91,31.65,32.56,23.99
Newfoundland and Labrador,"Total trafficking in stolen property (42,43,46)",0,0,0,0.19,0.2
Newfoundland and Labrador,Total theft of motor vehicle (46),86.3,90.55,109.79,115.62,98.7
Newfoundland and Labrador,"Total theft over $5,000 (non-motor vehicle)",20.74,31.23,61.34,37.82,45.84
Newfoundland and Labrador,"Theft over $5,000",15.8,22.79,42,21.84,28.87
Newfoundland and Labrador,"Theft over $5,000 from a motor vehicle",2.57,4.91,7.62,7.21,10.73
Newfoundland and Labrador,"Shoplifting over $5,000",2.37,3.54,11.72,8.77,6.24
Newfoundland and Labrador,"Total theft under $5,000 (non-motor vehicle)",1093.51,1213.72,1295.83,1271.2,1183.83
Newfoundland and Labrador,"Theft $5,000 or under",576.28,601.26,619.69,577.7,567.43
Newfoundland and Labrador,"Theft $5,000 or under from a motor vehicle",264.84,301.32,357.32,382.53,308.2
Newfoundland and Labrador,"Shoplifting $5,000 or under",252.39,311.14,318.83,310.98,308.2
Newfoundland and Labrador,Fraud (30),224.35,217.44,203.76,201.99,192.53
Newfoundland and Labrador,Identity theft (30),0,0,2.15,0.78,1.95
Newfoundland and Labrador,Identity fraud (30),,,4.49,4.09,2.73
Newfoundland and Labrador,Total mischief,1856.42,1844.25,1709.61,1592.51,1562.83
Newfoundland and Labrador,Mischief,1856.42,1844.06,1709.41,1592.12,1562.83
Newfoundland and Labrador,Mischief to religious property motivated by hate,0,0.2,0.2,0.39,0
Newfoundland and Labrador,Arson,32.78,39.48,25.01,25.74,16.97
Newfoundland and Labrador,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Prince Edward Island (51),Total property crime violations,4415.68,4305.44,4324.24,4354.99,4585.74
Prince Edward Island (51),Total breaking and entering,576.86,510.44,511.61,476.34,570.82
Prince Edward Island (51),Breaking and entering,576.86,509.73,511.61,474.28,569.45
Prince Edward Island (51),Breaking and entering to steal a firearm,,0.71,0,0.69,1.37
Prince Edward Island (51),Break and enter to steal a firearm from a motor vehicle,,,0,1.37,0
Prince Edward Island (51),"Total possession of stolen property (42,46)",63.06,58.84,64.3,56.28,58.18
Prince Edward Island (51),"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.05
Prince Edward Island (51),Total theft of motor vehicle (46),120.39,112.72,80.38,85.11,108.83
Prince Edward Island (51),"Total theft over $5,000 (non-motor vehicle)",20.78,22.69,25.86,25.4,27.38
Prince Edward Island (51),"Theft over $5,000",14.33,18.43,21.67,20.59,24.64
Prince Edward Island (51),"Theft over $5,000 from a motor vehicle",4.3,2.84,2.1,4.8,1.37
Prince Edward Island (51),"Shoplifting over $5,000",2.15,1.42,2.1,0,1.37
Prince Edward Island (51),"Total theft under $5,000 (non-motor vehicle)",1977.1,1968.04,2102.36,2051.55,2210.05
Prince Edward Island (51),"Theft $5,000 or under",1004.67,980.48,1002.26,936.89,970.53
Prince Edward Island (51),"Theft $5,000 or under from a motor vehicle",685.07,597.64,665.38,746.08,793.95
Prince Edward Island (51),"Shoplifting $5,000 or under",287.36,389.92,434.73,368.58,445.57
Prince Edward Island (51),Fraud (30),253.68,219.77,233.44,238.17,321
Prince Edward Island (51),Identity theft (30),0,0,2.8,1.37,2.05
Prince Edward Island (51),Identity fraud (30),,,8.39,8.24,8.9
Prince Edward Island (51),Total mischief,1375.87,1390.25,1272.74,1389.89,1248.42
Prince Edward Island (51),Mischief,1375.87,1390.25,1272.74,1388.52,1247.73
Prince Edward Island (51),Mischief to religious property motivated by hate,,,0,1.37,0.68
Prince Edward Island (51),Arson,27.95,22.69,22.37,22.65,28.06
Prince Edward Island (51),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Nova Scotia,Total property crime violations,4158.95,4174.62,4321.74,4009.24,3932.45
Nova Scotia,Total breaking and entering,542.74,541.59,557.48,502.82,508.49
